"clave_mun","mun","ageb","indice","pob3mas","pob12mas","sin_disc","escolaridad","ocupados","salud","fecundidad","hacinamiento","piso","energia","agua","tinaco","escusado","drenaje","refri","lavadora","auto","celular","internet"
1,"Acatic","0067",-0.078092566586099,1189,942,0.944491169049621,7.65,0.651804670912951,0.706476030277544,2.48,0.99,0.982507288629738,0.991253644314869,0.979591836734694,0.915451895043732,0.982507288629738,0.988338192419825,0.921282798833819,0.903790087463557,0.559766763848397,0.912536443148688,0.551020408163265
1,"Acatic","0071",-0.14634135299095,1986,1692,0.83484390735146,7.65,0.632387706855792,0.649546827794562,2.65,0.83,0.981566820276498,0.993855606758833,0.990783410138249,0.941628264208909,0.993855606758833,0.996927803379416,0.970814132104455,0.894009216589862,0.516129032258065,0.837173579109063,0.571428571428571
1,"Acatic","0103",0.0152345964819904,1036,805,0.933397683397683,7.54,0.73416149068323,0.796332046332046,2.18,1.17,0.996415770609319,0.996415770609319,0.996415770609319,0.992831541218638,1,1,0.924731182795699,0.867383512544803,0.498207885304659,0.946236559139785,0.437275985663082
1,"Acatic","0118",-0.0687837513571146,672,534,0.941964285714286,7.17,0.713483146067416,0.769345238095238,2.41,1.02,0.995283018867924,0.990566037735849,0.990566037735849,0.962264150943396,0.995283018867924,0.990566037735849,0.924528301886792,0.882075471698113,0.5,0.919811320754717,0.386792452830189
1,"Acatic","0122",0.0103582734337933,1200,938,0.925833333333333,7.85,0.702558635394456,0.731666666666667,2.48,1.21,0.982300884955752,0.997050147492625,1,0.929203539823009,1,1,0.964601769911504,0.911504424778761,0.52212389380531,0.926253687315634,0.569321533923304
1,"Acatic","0137",0.243306665833494,177,134,0.966101694915254,9.2,0.634328358208955,0.700564971751412,2.07,1.03,1,1,1,1,1,1,0.959183673469388,0.938775510204082,0.591836734693878,1,0.591836734693878
1,"Acatic","0141",0.219784402120997,125,96,0.872,8.2,0.625,0.744,2.18,1.1,1,1,1,0.935483870967742,1,1,1,0.967741935483871,0.709677419354839,0.967741935483871,0.67741935483871
1,"Acatic","0156",NA,27,22,1.03703703703704,10.05,0.681818181818182,0.296296296296296,1.25,1,1,1,1,1,1,1,1,1,0.75,1,0.5
1,"Acatic","0160",-0.0966779688644469,164,130,0.896341463414634,7.3,0.630769230769231,0.731707317073171,2.57,1.11,0.976190476190476,1,1,0.976190476190476,1,1,0.928571428571429,0.857142857142857,0.452380952380952,0.952380952380952,0.619047619047619
1,"Acatic","0175",0.269946654234632,60,49,0.833333333333333,9.67,0.612244897959184,0.8,1.89,1.15,1,1,1,1,1,1,1,0.857142857142857,0.714285714285714,1,0.714285714285714
