Latitude,Longitude,Rented,Price,Link,Google Maps link,Description,Id,Group
20.68921,-103.33581,No,3500,https://www.facebook.com/commerce/listing/799418338754169,"https://www.google.com/maps/search/?api=1&query=20.68921,-103.33581","Habitación privada en alquiler	MX$3.500	Publicado hace 2 semanas en Guadalajara, Jal	Enviar mensaje	Detalles	Habitación individual	Incluye servicios 	Agua luz, gas e Internet 	Contamos con 	Lavadoras estufa refrigerador horno en microondas 	Muy cerca de Hospital civil Nuevo centro médico Hospital civil viejo 	Estación de macrobús a una cuadra	Guadalajara, Jal	La ubicación es aproximada	Información del vendedor	Detalles del vendedor	Luis Pinto	roomies cuartos, guadalajara, zapopan, tonala, tlaquepaque	(5)	Nivel de respuesta alto en roomies cuartos, guadalajara, zapopan, tonala, tlaquepaque	Se unió a Facebook en 2019	Me gusta	Comentar	Compartir		Escribe un comentario público…	Envía un mensaje al vendedor	Hola. ¿Sigue estando disponible?	Enviar",799418338754169,926692934070184
20.691304337502,-103.35205568329,No,3500,https://www.facebook.com/commerce/listing/371576549132382,"https://www.google.com/maps/search/?api=1&query=20.691304337502,-103.35205568329","Habitación privada en alquiler	MX$3.500	Publicado hace 5 semanas en Guadalajara, Jal	Guardar	Compartir	Detalles	Habitación con:	Cama individual, tocador, buró, clóset, ventilador, almohada y cobijas. 		Costo: $3,... Ver más	Guadalajara, Jal	La ubicación es aproximada	Enviar mensaje",371576549132382,926692934070184
20.722961425781,-103.38684082031,No,3500,https://www.facebook.com/commerce/listing/1211012126543751,"https://www.google.com/maps/search/?api=1&query=20.722961425781,-103.38684082031","Renta cuarto	MX$3.500	  · Disponibles	Alquiler de propiedades	Publicado en Zapopan, Jal	Guardar	Compartir	Detalles	Renta de cuartos 	Con todos los servicios incluidos, agua, luz, internet, centro de lavado, regadera... Ver más	Zapopan, Jal	La ubicación es aproximada	Todas las reacciones:	4	12 comentarios	Más pertinentes	Thoni Mtz	Me puedes compartir los requisitos?	6 d	Astrid Dsiree	Thoni Mtz	Hola,buenas tardes	No aceptamos menores de edad y como requisito una copia de su INE	6 d	Thoni Mtz	Astrid Dsiree cuando puedo ir a ver el cuarto?	6 d	Astrid Dsiree	Thoni Mtz	De Lunes a Domingo 9am a 6pm	Horarios corridos	6 d	Thoni Mtz	Astrid Dsiree okay gracias	6 d	Juan Magaña	Info	6 d	Astrid Dsiree	Juan Magaña	Tengo de varios precios	$4,500 con un depósito de $1,500… Ver más	6 d	Angeles Guadarrama Cruz	Información por favor	6 d	Astrid Dsiree	Angeles Guadarrama Cruz	Tengo de varios precios	$3,500 con un depósito de $1,500… Ver más	5 d	Lizeth Ledesma	Hola buen día, me interesa, puedo pasar a verlo en persona ?	2 d	Astrid Dsiree	Lizeth Ledesma	Hola, buenas tardes	Si, claro … Ver más	2 d	Enviar mensaje",1211012126543751,cuartosyroomieszmg
20.74305,-103.40332,No,3500,https://www.facebook.com/commerce/listing/779436454045507,"https://www.google.com/maps/search/?api=1&query=20.74305,-103.40332","4 habitaciones 2 baños - Departamento	MX$3.500	Publicado hace 6 semanas en Zapopan, Jal	Guardar	Compartir	Detalles	Rento habitacion incluye todos los servicios, agua Caliente las 24 horas del día, agua para beber,co... Ver más	Zapopan, Jal	La ubicación es aproximada	Enviar mensaje",779436454045507,1447650615560237
20.74621,-103.38384,No,3500,https://www.facebook.com/commerce/listing/1342141223116408,"https://www.google.com/maps/search/?api=1&query=20.74621,-103.38384","1 habitación 1 baño - Casa	MX$3.500	Alquiler de propiedades	Publicado hace 2 semanas en Zapopan, Jal	Guardar	Compartir	Detalles	CUCEA casa de roomis, me queda una habitación para hombre , incluye servicios, a una calle del CUCEA... Ver más	Zapopan, Jal	La ubicación es aproximada	Enviar mensaje",1342141223116408,926692934070184
20.673522949219,-103.35388183594,No,3600,https://www.facebook.com/commerce/listing/863913252172220,"https://www.google.com/maps/search/?api=1&query=20.673522949219,-103.35388183594","Habitación para dos personas	$3.600	  · Disponibles	Publicado en Guadalajara, Jal	Guardar	Compartir	Detalles	Estado	Nuevo	Llama 3327575648	Habitación amueblada en centro de Guadalajara.	A 3 calles de estación Juárez del tr... Ver más	Guadalajara, Jal	La ubicación es aproximada	Enviar mensaje",863913252172220,926692934070184
20.68301,-103.35834,No,3600,https://www.facebook.com/commerce/listing/1567111497407375,"https://www.google.com/maps/search/?api=1&query=20.68301,-103.35834","Habitación privada en alquiler	MX$3.600	Alquiler de propiedades	Publicado hace 22 horas en Guadalajara, Jal	Guardar	Compartir	Detalles	Habitación privada en alquiler		Calle Juan N. Cumplido, Artesanos, Guadalajara, Jal, México		Buscamo... Ver más	Guadalajara, Jal	La ubicación es aproximada	Enviar mensaje",1567111497407375,cuartosyroomieszmg
20.63376,-103.28452,No,3700,https://www.facebook.com/commerce/listing/1437408213851635,"https://www.google.com/maps/search/?api=1&query=20.63376,-103.28452","1 habitación 1 baño Departamento	MX$3.700	Alquiler de propiedades	Publicado hace 10 semanas en Tlaquepaque, Jal	Guardar	Compartir	Detalles	SE RENTA HABITACION (RECAMARA) :                                    	La casa se encuentra ubicada en... Ver más	Tlaquepaque, Jal	La ubicación es aproximada	Enviar mensaje",1437408213851635,1447650615560237
20.644227747477,-103.30372598763,No,3700,https://www.facebook.com/commerce/listing/1130223691507246,"https://www.google.com/maps/search/?api=1&query=20.644227747477,-103.30372598763","2 habitaciones 1 baño - Departamento	$3.700	Publicado hace 5 horas en Guadalajara, Jal	Enviar mensaje	Detalles	2 habitaciones 1 baño - Departamento		Habitacion en centro GDL, para sexo masculino, cercano a Centro Medico, y cultural cabañas, gastos incluidos.	Guadalajara, Jal	La ubicación es aproximada	Información del vendedor	Detalles del vendedor	Alain Murillo	Cuartos y Roomies ZMG (Gdl, Zapopan, Tlaquepaque) - Corto y Largo Plazo	Se unió a Facebook en 2009	Me gusta	Comentar	Compartir		Escribe un comentario público…	Envía un mensaje al vendedor	Hola. ¿Sigue estando disponible?	Enviar",1130223691507246,cuartosyroomieszmg
20.644227747477,-103.30372598763,No,3700,https://www.facebook.com/commerce/listing/413051151517916,"https://www.google.com/maps/search/?api=1&query=20.644227747477,-103.30372598763","Habitación privada en alquiler	$3.700	Alquiler de propiedades	Publicado hace 4 días en Guadalajara, Jal	Guardar	Compartir	Detalles	Habitación privada en alquiler		Cercano a centro medico y centro de Gdl, preferente para sexo madcul... Ver más	Guadalajara, Jal	La ubicación es aproximada	Todas las reacciones:	3	4 comentarios	Más pertinentes	Martin Martinesz	.	4 d	J. Roberto Tellez Gomez	Me interesa. Me das más información, xfa.	4 d	Cesar Sanchez	Hola Alain, desde cuando estará disponible?	3 d	Arizbeth Ai	Aun disponible?	1 d	Enviar mensaje",413051151517916,cuartosyroomieszmg
